img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/DS Juegos/5060102950028_s.jpg,Bubble Bobble Revolution,Nintendo DS,1.50,0.90,834,5060102950028,4.00
/product_images/Juegos/DS Juegos/5060102950066_s.jpg,Lunar Genesisd,Nintendo DS,11.00,8.00,834,5060102950066,18.00
/product_images/Juegos/DS Juegos/5060102950226_s.jpg,Contact,Nintendo DS,5.00,3.00,834,5060102950226,8.00
/product_images/Juegos/DS Juegos/5060102950264_s.jpg,Bubble Bobble Double Shot,Nintendo DS,6.00,4.00,834,5060102950264,10.00
/product_images/Juegos/DS Juegos/5060102950356_s.jpg,Bomberman Land Touch,Nintendo DS,3.00,2.00,834,5060102950356,6.00
/product_images/Juegos/DS Juegos/5060102950448_s.jpg,Luminous Arc,Nintendo DS,7.00,5.00,834,5060102950448,12.00
/product_images/Juegos/DS Juegos/5060102950486_s.jpg,Harvest Fishing,Nintendo DS,3.00,2.00,834,5060102950486,6.00
/product_images/Juegos/DS Juegos/5060102950714_s.jpg,Bomberman Story DS,Nintendo DS,7.00,5.00,834,5060102950714,12.00
/product_images/Juegos/DS Juegos/5060102950875_s.jpg,Dungeon Explorer,Nintendo DS,3.00,2.00,834,5060102950875,6.00
/product_images/Juegos/DS Juegos/5060102950967_s.jpg,Bomberland Land Touch 2,Nintendo DS,9.00,6.00,834,5060102950967,15.00
/product_images/Juegos/DS Juegos/5060102951018_s.jpg,Ecolis - Defensores Del Bosqque,Nintendo DS,4.00,3.00,834,5060102951018,7.00
/product_images/Juegos/DS Juegos/5060102951216_s.jpg,Dungeon Maker,Nintendo DS,9.00,6.00,834,5060102951216,15.00
/product_images/Juegos/DS Juegos/5060102951377_s.jpg,Jewel Master - Cradle Of Egypt (UK),Nintendo DS,3.00,2.00,834,5060102951377,6.00
/product_images/Juegos/DS Juegos/5060102951438_s.jpg,PANG: Magical Michael,Nintendo DS,7.00,5.00,834,5060102951438,12.00
/product_images/Juegos/DS Juegos/5060102951636_s.jpg,Ivy The Kiwi?,Nintendo DS,9.00,6.00,834,5060102951636,15.00
