sku,categoria_id,precio_venta,precio_intercambio,categoria_str,titulo,img_caratula,precio_compra
045496337087,996,55.00,42.00,Wii U,Legend of Zelda: Breath of the Wild,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,38.00
045496333288,996,22.00,13.00,Wii U,Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,9.00
045496332785,996,20.00,12.00,Wii U,Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,9.00
045496333621,996,28.00,17.00,Wii U,Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,12.00
3307215655184,996,18.00,11.00,Wii U,Rayman Legends,/product_images/Juegos/Wii U Juegos/3307215655184_s.jpg,8.00
045496331085,996,8.00,5.00,Wii U,Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,3.00
045496331207,996,12.00,7.00,Wii U,New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,5.00
045496332198,996,15.00,9.00,Wii U,New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,6.00
045496334475,996,22.00,13.00,Wii U,Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,9.00
3307215654293,996,5.00,3.00,Wii U,ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,2.00
0045496332716,996,18.00,11.00,Wii U,Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,8.00
045496334161,996,15.00,9.00,Wii U,Mario Party 10,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,6.00
0045496332303,996,22.00,13.00,Wii U,Legend Of Zelda: Wind Waker HD,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,9.00
045496334987,996,28.00,17.00,Wii U,Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,12.00
045496331740,996,12.00,7.00,Wii U,Lego City Undercover,/product_images/Juegos/Wii U Juegos/045496331740_s.jpg,5.00
5026555258098,827,20.00,12.00,Xbox 360,Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,9.00
5030917096891,827,6.00,3.00,Xbox 360,Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,2.00
0885370606515,827,12.00,7.00,Xbox 360,Minecraft,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,5.00
5030917111679,827,15.00,9.00,Xbox 360,Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,6.00
5030917085864,827,12.00,4.00,Xbox 360,Call Of Duty: Black Ops,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,2.00
5030917125911,827,8.00,5.00,Xbox 360,Call Of Duty: Ghosts *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,3.00
5026555256476,827,8.00,5.00,Xbox 360,Bioshock Infinite,/product_images/Juegos/Xbox 360 Juegos/5026555256476_s.jpg,3.00
