categoria_str,precio_intercambio,precio_compra,precio_venta,titulo,img_caratula,categoria_id,sku
PlayStation 4,24.00,17.00,38.00,Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,1001,3391891979016
PlayStation 4,17.00,12.00,28.00,Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,1001,5030936111346
PlayStation 4,17.00,12.00,28.00,DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,1001,711719277071
PlayStation 4,17.00,12.00,28.00,Bloodborne,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,1001,0711719800415
PlayStation 4,13.00,9.00,22.00,Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,1001,3307215715239
PlayStation 4,18.00,13.00,30.00,God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,1001,711719843337
PlayStation 4,39.00,32.00,58.00,Overwatch,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,1001,5030917188893
PlayStation 4,22.00,15.00,35.00,Dragon Ball: Xenoverse,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,1001,3391891980685
PlayStation 4,17.00,12.00,28.00,InFamous Second Son,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,1001,0711719278870
PlayStation 4,20.00,14.00,32.00,Tomb Raider: Definitive Edition,/product_images/Juegos/PS4 Juegos/5021290060869_s.jpg,1001,5021290060869
PlayStation 4,25.00,18.00,40.00,Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,1001,711719439912
PlayStation 4,26.00,18.00,42.00,Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,1001,3307215889121
PlayStation 4,24.00,17.00,38.00,Dishonored 2 (Sin DLC),/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,1001,5055856410706
PlayStation 4,26.00,18.00,42.00,Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,1001,5035223113737
