sku,precio_compra,titulo,categoria_id,precio_intercambio,categoria_str,precio_venta,img_caratula
3307215915127,32.00,For Honor,1002,39.00,Xbox One,58.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg
0889842121575,13.00,Gears of War 4,1002,18.00,Xbox One,30.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg
4012927110355,5.00,Metal Gear Solid V: The Phantom Pain,1002,7.00,Xbox One,12.00,/product_images/Juegos/Xbox One Juegos/4012927110355_s.jpg
885370984750,11.00,Rise Of The Tomb Raider,1002,15.00,Xbox One,25.00,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg
889842148671,17.00,Dead Rising 4,1002,24.00,Xbox One,38.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg
3307215913161,36.00,Ghost Recon: Wildlands (Sin DLC),1002,44.00,Xbox One,65.00,/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg
5030947121631,8.00,Star Wars: Battlefront,1002,11.00,Xbox One,18.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg
5030917147791,5.00,Call Of Duty: Advanced Warfare,1002,7.00,Xbox One,12.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg
0885370863956,6.00,Halo: The Master Chief Collection,1002,9.00,Xbox One,15.00,/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg
5030917181863,13.00,Call Of Duty: Black Ops III,1002,18.00,Xbox One,30.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg
3307215914946,26.00,For Honor (No DLC),1001,36.00,PlayStation 4,58.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg
5030934121637,9.00,Star Wars: Battlefront,1001,12.00,PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg
3307215938782,12.00,Far Cry Primal,1001,17.00,PlayStation 4,28.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg
3307215803530,8.00,Assassin's Creed: Unity,1001,11.00,PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg
3307215732939,2.00,Watch Dogs,1001,4.00,PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg
5021290072985,17.00,Final Fantasy XV,1001,24.00,PlayStation 4,38.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg
711719407515,15.00,"Last of Us, The - Remastered",1001,22.00,PlayStation 4,35.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg
5051893179637,9.00,Batman: Arkham Knight,1001,13.00,PlayStation 4,22.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg
711719838951,14.00,"Last Guardian, The",1001,20.00,PlayStation 4,32.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg
3307215793633,4.00,Far Cry 4,1001,6.00,PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg
5055856406242,11.00,Fallout 4,1001,15.00,PlayStation 4,25.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg
3391891979016,14.00,Witcher 3: Wild Hunt,1001,20.00,PlayStation 4,32.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg
5030941116350,45.00,Mass Effect: Andrómeda (Sin DLC),1001,50.00,PlayStation 4,65.00,/product_images/Juegos/PS4 Juegos/5030941116350_s.jpg
4012927100417,9.00,Metal Gear Solid V: The Phantom Pain,1001,12.00,PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg
5030917148019,5.00,Call Of Duty: Advanced Warfare,1001,8.00,PlayStation 4,22.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg
