precio_compra,precio_venta,titulo,categoria_str,categoria_id,img_caratula,precio_intercambio,sku
18.00,42.00,Rainbow Six: Siege,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,26.00,3307215889121
17.00,38.00,Dishonored 2 (Sin DLC),PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,24.00,5055856410706
17.00,38.00,Titanfall 2,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,24.00,5030932116925
12.00,28.00,"Evil Within, The",PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,17.00,093155149007
12.00,28.00,DriveClub,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,17.00,711719277071
4.00,20.00,NBA 2K16,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,7.00,5026555421256
8.00,18.00,Homefront: The Revolution,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,11.00,4020628868550
15.00,35.00,Just Cause 3,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,22.00,5021290069459
6.00,15.00,Battlefield Hardline,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,9.00,5030946112425
20.00,45.00,Dark Souls III,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3391891987332_s.jpg,28.00,3391891987332
12.00,28.00,Bloodborne,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,17.00,0711719800415
18.00,42.00,Need For Speed (2015),PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,26.00,5035223113737
