titulo,sku,precio_venta,precio_compra,img_caratula,precio_intercambio,categoria_id,categoria_str
Dying Light,5051893170139,35.00,16.00,/product_images/Juegos/PS4 Juegos/5051893170139_s.jpg,22.00,1001,PlayStation 4
Minecraft,711719439912,38.00,18.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,24.00,1001,PlayStation 4
Assassin's Creed 4: Black Flag,3307215715239,25.00,12.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,16.00,1001,PlayStation 4
Ratchet & Clank (2016),711719848233,40.00,19.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,26.00,1001,PlayStation 4
Dishonored 2 (Sin DLC),5055856410706,40.00,22.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,27.00,1001,PlayStation 4
Homefront: The Revolution,4020628868550,20.00,9.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,13.00,1001,PlayStation 4
Just Cause 3,5021290069459,35.00,16.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,22.00,1001,PlayStation 4
Pro Evolution Soccer 2016,4012927101179,18.00,4.00,/product_images/Juegos/PS4 Juegos/4012927101179_s.jpg,6.00,1001,PlayStation 4
Need For Speed (2015),5035223113737,40.00,19.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,26.00,1001,PlayStation 4
Killzone: Shadow Fall,711719275473,15.00,7.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,9.00,1001,PlayStation 4
Dying Light The Following: Enhanced Edition,5051890302113,40.00,19.00,/product_images/Juegos/PS4 Juegos/5051890302113_s.jpg,26.00,1001,PlayStation 4
