sku,categoria_id,titulo,precio_intercambio,categoria_str,precio_compra,img_caratula,precio_venta
711719866534,1001,Uncharted: The Nathan Drake Collection,22.00,PlayStation 4,15.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,35.00
711719439912,1001,Minecraft,18.00,PlayStation 4,13.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,30.00
5030947112387,1001,FIFA 15,1.50,PlayStation 4,0.70,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5.00
5035223113737,1001,Need For Speed (2015),17.00,PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,28.00
5055856403418,1001,Doom (2016),11.00,PlayStation 4,8.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,18.00
3307215977453,1001,Assassin's Creed: The Ezio Collection,15.00,PlayStation 4,11.00,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,25.00
3307215715239,1001,Assassin's Creed 4: Black Flag,11.00,PlayStation 4,8.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,18.00
711719817963,1001,Nioh,34.00,PlayStation 4,24.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,55.00
711719843337,1001,God of War 3 - Remasterizado,13.00,PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,22.00
5021290069060,1001,Deus Ex: Mankind Divided,12.00,PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/5021290069060_s.jpg,20.00
711719275473,1001,Killzone: Shadow Fall,4.00,PlayStation 4,2.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,12.00
5030932116925,1001,Titanfall 2,17.00,PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,28.00
5055856410706,1001,Dishonored 2 (Sin DLC),15.00,PlayStation 4,11.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,25.00
5030917126215,1001,Call Of Duty: Ghosts,6.00,PlayStation 4,4.00,/product_images/Juegos/PS4 Juegos/5030917126215_s.jpg,18.00
093155149007,1001,"Evil Within, The",9.00,PlayStation 4,6.00,/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,15.00
