precio_compra,precio_intercambio,img_caratula,categoria_id,sku,titulo,categoria_str,precio_venta
13.00,18.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,1001,3391891979016,Witcher 3: Wild Hunt,PlayStation 4,30.00
2.00,3.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,1001,5030917124549,Destiny,PlayStation 4,10.00
14.00,20.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,1001,711719838951,"Last Guardian, The",PlayStation 4,32.00
9.00,12.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,1001,5055856403418,Doom (2016),PlayStation 4,20.00
0.70,1.50,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1001,5030947112387,FIFA 15,PlayStation 4,5.00
15.00,22.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,1001,711719866534,Uncharted: The Nathan Drake Collection,PlayStation 4,35.00
14.00,20.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,1001,5030932116925,Titanfall 2,PlayStation 4,32.00
9.00,13.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,1001,0711719278870,InFamous Second Son,PlayStation 4,22.00
2.00,3.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,1001,711719275473,Killzone: Shadow Fall,PlayStation 4,10.00
8.00,11.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,1001,5030936111346,Battlefield 4,PlayStation 4,18.00
13.00,18.00,/product_images/Juegos/PS4 Juegos/5051893230963_s.jpg,1001,5051893230963,Batman: Return To Arkham,PlayStation 4,30.00
9.00,13.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,1001,3307215715239,Assassin's Creed 4: Black Flag,PlayStation 4,22.00
12.00,17.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,1001,0711719800415,Bloodborne,PlayStation 4,28.00
18.00,26.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,1001,3307215889121,Rainbow Six: Siege,PlayStation 4,42.00
21.00,30.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,1001,5026555422079,NBA 2K17,PlayStation 4,48.00
18.00,25.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,1001,4012927102336,Pro Evolution Soccer 2017,PlayStation 4,40.00
15.00,22.00,/product_images/Juegos/PS4 Juegos/5051893170139_s.jpg,1001,5051893170139,Dying Light,PlayStation 4,35.00
14.00,20.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,1001,3391891980685,Dragon Ball: Xenoverse,PlayStation 4,32.00
14.00,20.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,1001,711719848233,Ratchet & Clank (2016),PlayStation 4,32.00
18.00,25.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,1001,5021290074811,Rise of the Tomb Raider,PlayStation 4,40.00
9.00,12.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,1001,711719277071,DriveClub,PlayStation 4,20.00
9.00,12.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,1001,0711719849834,No Man's Sky,PlayStation 4,20.00
14.00,20.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,1001,5035223113737,Need For Speed (2015),PlayStation 4,32.00
2.00,4.00,/product_images/Juegos/PS4 Juegos/4012927101179_s.jpg,1001,4012927101179,Pro Evolution Soccer 2016,PlayStation 4,12.00
15.00,22.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,1001,5021290069459,Just Cause 3,PlayStation 4,35.00
8.00,11.00,/product_images/Juegos/PS4 Juegos/5030930113803_s.jpg,1001,5030930113803,Dragon Age: Inquisition,PlayStation 4,18.00
9.00,12.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,1001,0711719284697,"Order 1886, The",PlayStation 4,20.00
