categoria_id,precio_venta,categoria_str,precio_intercambio,precio_compra,titulo,sku,img_caratula
830,3.00,PC,1.00,0.60,Lego Creator Knight's Kingdom,8715686014112,/product_images/defimg1_s.jpg
830,0.50,PC,0.10,0.01,"Isla Lego, La",8715686014259,/product_images/defimg5_s.jpg
830,1.00,PC,0.30,0.10,Lego Loco,8715686014341,/product_images/defimg1_s.jpg
830,1.00,PC,0.30,0.10,Lego Rock Raiders,8715686014617,/product_images/defimg4_s.jpg
830,0.50,PC,0.10,0.01,Legoland,8715686014884,/product_images/defimg4_s.jpg
830,1.50,PC,0.50,0.30,Hot Wheels World Race,8716051505075,/product_images/defimg5_s.jpg
830,1.50,PC,0.40,0.20,Duke Nukem - Manhattan Project,8716392000895,/product_images/defimg1_s.jpg
830,0.25,PC,0.01,0.01,Nexus,8716392002264,/product_images/defimg5_s.jpg
830,0.25,PC,0.01,0.01,Spearhead,8716718002510,/product_images/defimg4_s.jpg
830,0.50,PC,0.10,0.01,Dinosaurs Danger Island,8716718003753,/product_images/defimg1_s.jpg
830,0.10,PC,0.01,0.01,Tetrix,8716718005306,/product_images/defimg4_s.jpg
830,1.00,PC,0.30,0.10,Battle of the Sea,8716718007171,/product_images/defimg3_s.jpg
830,2.00,PC,0.70,0.40,Tetrix 2 - Super Tetrix Pack,8716718008413,/product_images/defimg5_s.jpg
830,0.50,PC,0.10,0.01,Kult Heretic Kingdoms,8717127290079,/product_images/defimg5_s.jpg
830,6.00,PC,2.00,1.20,Alida The Enigmatic Giant,8717127290123,/product_images/defimg3_s.jpg
830,2.50,PC,0.90,0.50,Cross Racing Championship 2005,8717127290178,/product_images/defimg5_s.jpg
830,2.00,PC,0.70,0.40,Taxi Racer London 2,8717202730193,/product_images/defimg5_s.jpg
830,4.50,PC,1.70,1.00,Hitman Triple Pack,8717278827780,/product_images/defimg2_s.jpg
830,15.00,PC,5.00,3.00,Pirates of the Caribbean Game,8717418146504,/product_images/defimg1_s.jpg
830,2.00,PC,0.60,0.30,Tron Evolution,8717418297237,/product_images/defimg2_s.jpg
830,1.00,PC,0.30,0.10,Disney Winnie the Pooh,8717418309336,/product_images/defimg3_s.jpg
830,6.00,PC,2.00,1.20,Disney Universe,8717418335069,/product_images/defimg5_s.jpg
830,2.00,PC,0.70,0.40,World Racing 2,8717545400333,/product_images/defimg5_s.jpg
821,4.00,PlayStation 3,1.50,0.90,Natural Doctrine,813633014210,/product_images/Juegos/PS3 Juegos/813633014210_s.jpg
821,14.00,PlayStation 3,8.00,6.00,Tears To Tiara 2,813633014388,/product_images/Juegos/PS3 Juegos/813633014388_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Tokyo Twilight: Ghost Hunters,813633014517,/product_images/Juegos/PS3 Juegos/813633014517_s.jpg
821,7.00,PlayStation 3,4.00,3.00,Arcana Heart 3: Love Max,813633014739,/product_images/Juegos/PS3 Juegos/813633014739_s.jpg
821,10.00,PlayStation 3,6.00,4.00,"Awakened Fate Ultimatum, The",813633014968,/product_images/Juegos/PS3 Juegos/813633014968_s.jpg
821,35.00,PlayStation 3,22.00,15.00,Hyperdimension Neptunia Hypercollection,813633015064,/product_images/defimg1_s.jpg
821,32.00,PlayStation 3,20.00,14.00,Odin Sphere Leifthrasir,813633017099,/product_images/Juegos/PS3 Juegos/813633017099_s.jpg
821,18.00,PlayStation 3,11.00,8.00,Monster High: La Nueva Chica Del Insti,8154030104619,/product_images/defimg5_s.jpg
821,22.00,PlayStation 3,13.00,9.00,Barbie: Refugio Para Cachorros De Barbie Y Sus Hermanas,8154030104916,/product_images/defimg3_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Naruto Storm 3 - Ultimate Ninja Kit,8427897005260,/product_images/Juegos/PS3 Juegos/8427897005260_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Time Crisis Razing Storm W/ Gun (Move),8431305017233,/product_images/Juegos/PS3 Juegos/8431305017233_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Ragnarok Odyssey Ace,853466001650,/product_images/Juegos/PS3 Juegos/853466001650_s.jpg
821,4.00,PlayStation 3,1.50,0.90,Heavy Fire : Shattered Spear,859292000843,/product_images/Juegos/PS3 Juegos/859292000843_s.jpg
821,4.00,PlayStation 3,1.50,0.90,Turok (Caja Metal),8717418156640,/product_images/Juegos/PS3 Juegos/8717418156640_s.jpg
821,8.00,PlayStation 3,5.00,3.00,Disney Sing it 2 Pop Hits + Mic,8717418229689,/product_images/Juegos/PS3 Juegos/8717418229689_s.jpg
821,4.00,PlayStation 3,1.50,0.90,Disney Sing It Family Hits,8717418275914,/product_images/Juegos/PS3 Juegos/8717418275914_s.jpg
821,5.00,PlayStation 3,3.00,2.00,Disney Sing It Party Hits + Micrófon,8717418279189,/product_images/Juegos/PS3 Juegos/8717418279189_s.jpg
821,18.00,PlayStation 3,-1,-1,Star Wars: The Force Unleashed II,8717418429225,/product_images/Juegos/PS3 Juegos/8717418429225_s.jpg
