id_company;company
9024;Sujin Ri
9023;Paul Schneider
9022;BlueEagle Productions
9021;SDP Games
9020;Sascha Hartleb
9019;Transcendent Games
9018;Codemasters Racing Studio
9017;Fugazo
9016;Deadghost Interactive
9015;Dogenzaka Lab
9014;M2 Co.,LTD
9013;URSE Games
9012;Kraken Games
9010;Chocolate Liberation Front
9009;Playdek, Inc.
9008;Sonalysts Combat Simulations
9007;Slitherine Ltd.
9006;Mixel
9005;PlayWay S.A.
9004;Mårten Jonsson
9003;CAVYHOUSE
9002;Axe Eel Games
9001;MobileBits
9000;Shortbreak Studios s.c.
8999;Disparity Games
8998;4Realms
8997;Yatagarasu Dev Team
8996;Ripatti Software
8995;Sam Albon
8994;Idigicon
8993;Infernum Productions AG
8992;Jochen Mistiaen
8991;Amaze
8990;Vinci Games
8989;Coreplay
8988;vertex4 entertainment ltd.
8987;Traptics
8985;PIPE Studio
8984;Nexeon Studios
8983;Odin Game Studio
8982;Axyos Games
8981;Fakedice
8980;Stained Glass Llama
8979;Tavern Games
8978;Mando Productions
8977;AMA
8976;REEW GAMES
8975;Full Control ApS
8973;The Secret Pie
8972;The Innocent Devils
8971;Qwiboo Ltd
8970;Cosmic Cow LLC
8969;GameArt Studio GmbH
8968;REMIMORY
8967;Double Action Factory
8966;Four Lights
8965;GungHo Online Entertainment America, Inc.
8964;Ghost Machine
8963;Dynamic Games
8962;Jae Lee Productions
8961;Calvino Noir Limited
8960;Snake Hill Games
8959;One-bit Punch
8958;GammaLateral
8957;VisualArts/Key
8956;Force Of Habit
8955;Dreamatrix
8953;Polar Bunny Ltd
8952;Etranges Libellules Studios
8951;Pentavera
8950;Stainless Games Ltd.
8949;Interbellum team
8948;AAA Internet Publishing, Inc. (DBA WTFast)
8947;Ekuator Games
8946;FourbitFriday
8945;Patrice Meneguzzi
8944;H2 Interactive Co., Ltd.
8942;Colin Northway
8941;Gaddy Games
8940;Oruji Productions
8939;Fatpuppy Softworks
8938;Bluebutton Games
8937;Rebelmind
8936;RSUPPORT Co., LTD.
8935;Pixelz Games
8934;Strides Interactive
8933;2SD
8932;Proscenium
8931;WIWD Development
8930;BiteTheBytes GmbH
8929;Timo Armbruster
8928;Stefan Kraus
8927;Johannes Rosenberg
8926;The Paper Robot
8925;Crescent Moon Games, LLC
8924;Mobot Studios, Inc
8923;Limevision Studios
8922;Morgan Andersson
8921;Lennie Svensson
8920;Guilherme Nunes Barbosa
8917;Pictopotamus
8916;Winged Pixel Inc.
8915;Chromatic Dream
8914;Sharpened Edge Studios
8913;Duaik Entretenimento
8912;Ludeme Games
8911;Indie Developer
8910;Imaekgames [Imaek Limited]
8909;FobTi interactive
8908;Bernt Andreas Eide
8907;Sinclair Strange
8906;GSProductions Ltd.
8905;Skatanic Studios
8904;Sanuk Games
8903;Archetype Global
8901;Rampant Games
8900;Metalhead Software Inc.
8899;Bluestrike
8898;Mokus
8897;DragonSix
8896;Multi-Form
8895;Galhmac Game Studio
8894;Noetic
8893;Gabriel Priske
8892;Kaiko
8891;Winged Cloud
8890;Love in Space
8889;TT Games Ltd
8888;FrameLineNetwork Kft.
8887;On The Level Game Studios
8886;Cross Eaglet
8885;Dream Up
8884;Lemondo Entertainment
8883;Gamestorming
8882;Tlön Studios
8881;Up Multimedia
8880;Tru Blu Games
8878;ViWo Games
8877;Quantic Dream (original release)
8875;NEXT-SOFT+
8874;Studio Nyx
8873;Gothic Labs
8872;Flashback Games
8871;Slitherine Ltd.
8870;The Lordz Games Studio
8869;Only Human Studios
8868;Aaron Dordi
8867;Good Morning, Commander
8866;BetaSparkUK
8865;XIAOYAO
8864;Touz
8863;Hyper Hippo Games
8862;Social Loner Studios
8861;Ionising Software
8860;Candescent Games, Inc
8859;Cape Copenhagen
8858;Retro Army Limited
8857;Decane
8856;Super Duper Garrett Cooper
8855;Making Fun, inc.
8854;Redpoint Labs
8853;Lunagames
8852;Grimlore Games
8851;Orion Games
8850;MADia Entertainment
8849;SmallGreenHill
8848;Really Slick
8845;Lucid Games
8844;Damaged
8843;Skilltree Studios
8842;VR Designs
8841;Faultline Games
8840;Stone Monkey Studios
8839;Minimon Team
8838;DQ Team
8837;Zut Games
8836;YorkshireRifles
10996;Annevo AB
10995;Investigate North
10994;Sony Online Ent.
10993;Paradox Entertainment
10992;Anarchy Entertainment
10991;Cranky Pants
10990;Infrogrames
10989;Majesco Games
10988;Remedy
10987;Canopy Games
10985;Similis Software
10983;TDK
10982;Global Star
10981;T3Fun
10980;Hyper Games
10979;Platform Publishing
10978;Intarcative Magic
10977;Idea Cabin
10976;Indie Knight
10975;Light Arrow Games
10974;Rock-Ola Manufacturing Corporation
10973;Med Systems Software
10972;Electronics Arts
10971;Endi Milojkoski
10970;Bleeding Colors Games
10969;Woodsy Studio
10968;Dinamix, Inc.
10967;Parabox Games
10966;beyondthosehills
10965;Tilting Point
10964;1337 & Senri AB
10963;Faris Mohammed
10962;Ryan Davis
10961;Rodaja
10960;Black Flag Studios
10959;Cleverweek
10958;Deep Fried Enterprises
10957;The Secret Games Company
10956;Ginger Labs Inc
10955;Sometimes You
10954;Binokle Studio
10953;Kikiwik Games
10952;Chocoarts
10951;Ketos Games
10950;DIGIDICED
10949;inkle Ltd
10948;MK-ULTRA Games
10947;Lienzo
10946;Dan FitzGerald
10945;Aackonsoft International
10944;Livesay Computer Games, Inc.
10943;All 4 Games
10942;Splendy Interactive
10941;K-Tel International Ltd
10940;Orpheus Ltd
10939;Bally Sente Inc.
10938;Square Enix Product Development Division 2
10937;Imperative Entertainment
10936;Probe 2000
10935;RocketWerkz
10934;PDI
10933;Creative Computing Software
10932;Hiker Games
10931;Digital Smash
10930;Minimont
10929;NTT Resonant
10928;NNtechnocracy
10927;Tripartible
10926;DaSuppa Studios
10925;Coronado Games
10924;BrainBank, Inc.
10923;Liberty Software
10922;2123
10921;Pleiades Game Company
10920;Progame
10919;Gainax Network Systems
10918;Atari Program Exchange
10917;Will Blew
10916;Sunware Development Company
10915;Nexa Corporation
10914;Reddoll Srl
10913;Big Cow Studios
10912;Systence Games
10911;Afterthought Games
10910;Absolut Entertainment, Inc.
10909;Magnum Software
10908;Thunder Game Works
10907;Leven Lab
10906;Ellis Studios
10905;TripleR Games
10904;Med System Software
10903;Digital Legends Entertainment
10902;Sydney Development Corp.
10901;Tang's Electronic Co., Ltd.
10900;Sancho
10899;Softnauts
10898;Theory Interactive
10897;Divine Gaming
10896;BeepBop Developers
10895;Invader Studios
10894;United Microware Industries, Inc.
10893;Bezdomnii
10892;Enyx Studios
10891;Red Winter
10890;Sunday Month
10889;Screenplay
10888;Chevy Ray Johnston
